location,day,time,title,presenter,description,field
Creator Stage 1,Friday,10:00 AM,"Sovereign by Design, Vulnerable by Default",Devin Lynch; Haley Ring,"Examines how sovereign AI policy decisions (data localization, domestic cloud mandates, export controls) create architectural seams that introduce new security vulnerabilities.",Privacy & Policy
Creator Stage 2,Friday,10:00 AM,"Maritime Hacking Village Policy Panel: Subsea Cables as Strategic Chokepoints - Security, Sovereignty, and the Grey Zone",Dr. Nina Kollars; Jason Vogt; Delta Blue,"Subsea cables carry the overwhelming majority of the world's digital traffic, yet the legal, operational, and diplomatic frameworks for protecting them remain fragmented. Recent cable disruptions, suspected anchor drags, and other ""accidents"" have highlighted how critical infrastructure at sea can become a target of...",Maritime Security
Creator Stage 3,Friday,10:00 AM,Counting the Dead in the Digital Siege: Detection Infrastructure for Cyber-Mapping Patient Harm,Jorge Acevedo Canabal; Scott Shackelford; Szymon Skalski,Analyzes ransomware's impact on hospital mortality using epidemiological data and proposes detection infrastructure to make cyberattack-linked patient deaths measurable at population scale.,Medical Device Security
Creator Stage 4,Friday,10:00 AM,Four Newbies Vs. An Insulin Pump. How Hard Can It Be?,Birgitte Jordal; Julia Kucharska; Emilie Øynes Jørstad; Selma Jenker,"Medical devices are becoming increasingly connected-and that includes devices responsible for keeping people alive. In this talk, we share our journey as four security students taking on the challenge of analyzing an insulin pump as relative newcomers to hacking medical devices.",Medical Device Security
Creator Stage 5,Friday,10:00 AM,Hacking Electronic Conspicuity Devices -or- Making Light Aircraft Fly Into Conflict,Ken Munroe,"Commercial aircraft have Traffic Collision and Avoidance Systems, or TCAS, to ensure they don't fly in to each other, but these are very expensive systems. How do General Aviation aircraft find a way to avoid each other?",Aerospace & Satellite Security
Creator Stage 6,Friday,10:00 AM,The Future of Bug Bounty - Program Manager Perspective,"Jai Kumar Sharma; Catherine Cassell; Austin Sturm; Dane Sherrets; Sachin ""sachinnthakuri"" Thakuri","Bug bounty is a proven model, but AI is changing how it runs. Researchers are submitting at higher volumes, LLM-generated reports are making triage harder, and new assets like AI agents and model endpoints are showing up in scope faster than programs can write playbooks for them.",Bug Bounty / Vulnerability Research
Creator Stage 7,Friday,10:00 AM,OSINT4Good: What it takes to find missing people,Angela Ramos; Kenny J; Brent Louie,"Have you ever wondered what it takes to used gamified OSINT to find missing people? Moderated by a Director from Trace Labs, this panel brings together a participant (who won Most Valuable OSINT), a coach (who has coached more times than anyone on the planet), and a report writer (who leads the team of report writers)...",OSINT
Main Track 1,Friday,10:00 AM,Welcome to DEF CON 34!,"Jeff ""The Dark Tangent"" Moss",Opening keynote from founder Jeff Moss welcoming attendees and kicking off DEF CON 34.,Community/Keynote
Main Track 2,Friday,10:00 AM,Breaking the Ethereum Phone: From BootROM to Wallet Signing Keys,Guanxing Wen,"Crypto phones promise the convenience of a mobile OS with hardware-backed key management. We tested that claim on dGEN1, the Ethereum phone marketed for digital-asset custody, and present a full compromise from bootrom to wallet key recovery.",Hardware & Embedded Security
Main Track 3,Friday,10:00 AM,Texas Incidents - How we broke the OMAP-L138 Trusted Execution Environment,Carlo Meijer; Wouter Bokslag,"In this talk, we'll discuss how we achieved the black-box compromise of the Trusted Execution Environment (TEE) of the Texas Instruments OMAP-L138, a popular SoC encountered in various PMR radios, satcom equipment and other embedded applications. These radios are frequently used in safety-critical roles, where...",Hardware & Embedded Security
Main Track 4,Friday,10:00 AM,Weaponizing Uselessness: Breaking SMM with the Slowest Instruction Ever Written,"Christopher ""xoreaxeaxeax"" Domas","A CPU timing/instruction-behavior technique used to break platform security on nearly every x86 system ever shipped, reviving a hundred dormant CVEs.",Hardware & Embedded Security
Main Track 5,Friday,10:00 AM,From square root to /root: escalating privileges in Azure containers with Python in Excel,Ron Ben Yizhak,"Microsoft integrated Python into Excel, giving users more advanced data analysis. The Python code is processed in a cloud container and returned as results.",Cloud Security
Creator Stage 3,Friday,10:30 AM,What TEEs Do Not Hide: Residual Metadata Leakage in Confidential LLM Serving,Anup Swamy Veena,"Confidential LLM inference protects prompt, model, KV-cache, and intermediate-tensor memory, but it does not remove the metadata emitted by the serving stack. We audit those emitted surfaces on a verified H100 confidential-GPU serving setup using a dense/MoE Gemma pair.",Cryptography & Privacy
Main Track 1,Friday,10:30 AM,The DEF CON 34 Badge,Andrew 'bunnie' Huang,Bunnie Huang introduces the design and hardware behind the official DEF CON 34 badge.,Hardware & Embedded Security
Main Track 2,Friday,10:30 AM,Breaking Local AI Runtimes: Exploiting llama.cpp and Ollama,"Ofek Itach; Vladimir ""G1ND1L4"" Tokarev","Local LLM runtimes now sit inside phones, desktops, and internal servers, but the layer underneath is still ordinary native code. We analyzed llama.cpp and Ollama across three trust boundaries: JNI, HTTP lifecycle code, and Go/C bindings.",AI/ML Security
Main Track 4,Friday,10:30 AM,Reflections on Disregarding Trust (Weaponizing CDP and MHTML for Header-Agnostic Session Hijacking),"Gregory ""1umberhack"" Disney-Leugers","Adversary-in-the-Middle (AitM) phishing has become the de facto standard for bypassing legacy Multi-Factor Authentication (MFA). However, modern AitM frameworks rely on complex, fragile regex rules to rewrite HTTP streams on the fly.",Red Team / Adversary Emulation
Creator Stage 2,Friday,10:45 AM,InQuorigible: Quora in Missing Persons OSINT,Miranda Tedholm,"We all know Quora - or do we? Like Internet herpes, if you're a Google user, it'll follow you, forever, haunting your inbox with clickbait if you Google while logged into your account. ...But do we REALLY know Quora?",OSINT
Creator Stage 4,Friday,10:45 AM,"The Future of Payments: AI, Agentic Commerce and the Next Wave of Innovation",Daniel Cuthbert; Leigh-Anne Galloway; Jorge Braniff; Sanjeev Sharma,"The payments industry is entering a new era of transformation, where AI reshapes the way consumers and businesses buy, pay, and determine risk throughout the payment journey. Join leaders from across the payments ecosystem as they explore the technologies, opportunities, and challenges shaping the future of this space.",Payment Security
Creator Stage 1,Friday,11:00 AM,Intro to Common Industrial Protocol Exploitation,Trevor Flynn,Intro into Common Industrial Protocol and how to get started finding exploits on CIP enabled devices.,ICS/OT Security
Creator Stage 5,Friday,11:00 AM,Cryptocurrency Opening Keynote,"Michael ""MsvB"" Schloh; Param ""P7R7M""; Izdihar","Join your fellow hackers managing the Cryptocurrency areas at DEF CON, and get a sneak peak of what each workshop teaches as well as an overview of the showcases and programs happening in our DEF CON Village and Contest areas. We will report on cryptocurrency trends and perspectives from distinguished positions in...",Community/Keynote
Creator Stage 6,Friday,11:00 AM,The Ripple Effect: Inside Cloud-Scale Vulnerabilities in the Age of AI,Albin Vattakattu; Ryan Nolette,"Security researchers never see the true impact of their work. You submit a vulnerability report, it disappears into a queue, and eventually get a ""resolved."" But what actually happened on the other side?",Bug Bounty / Vulnerability Research
Creator Stage 7,Friday,11:00 AM,"Tech Reclaimers Update: A Year In, Building a Social Movement Away from Big Tech",Andy Hull; Janet Vertesi; Rebecah Miller,"It has been a year since we launched the Tech Reclaimers, a social movement to help people reclaim their lives and their systems from Big Tech. And how far we have come!",Privacy & Policy
Main Track 1,Friday,11:00 AM,The 2026 Pwnie Awards,Ian Roos; Mark Trumpbour,"The community's annual, satirical awards recognizing the year's most significant security research and biggest failures.",Community/Keynote
Main Track 3,Friday,11:00 AM,Keychained Melody - Grabbing the Keys to the iCloud Kingdom,Alex Radocea; Jaron Bradley,"The Apple Keychain has become a cornerstone of credential management for millions of users across the Apple ecosystem. In response, Apple has implemented robust protections for the iCloud Keychain - restricting synchronization exclusively to devices within Apple's ""Circle of Trust"" and encrypting stored secrets with...",Mobile Security
Main Track 5,Friday,11:00 AM,Sliding into the Flight Deck's DMs: Practical Message Attacks on CPDLC,"Martin ""MasorX"" Strohmeier; Mehdi Ziazi",Air traffic control quietly moved from voice radios to text messages-and almost nobody outside aviation noticed. We did.,Aerospace & Satellite Security
Creator Stage 2,Friday,11:30 AM,"Building the Humans Behind the Mission: Talent, Readiness, and Cyber Power for America's Armed Services",Dr. Nina Kollars; Dr. Wanda T. Jones-Heath; Anne Marie Schumann,"The Maritime Hacking Village is proud to host a first‑of‑its‑kind conversation with the Principal Cyber Advisors to the Navy and the Air Force. As cyber operations become inseparable from maritime, air, and joint missions, the Navy and Air Force face a shared challenge: how to recruit, train, integrate, and retain the...",Maritime Security
Creator Stage 3,Friday,11:30 AM,Haetae: An Agent to Takedown North Korean C2 Servers,Mauro Eldritch; Nelson Rafael Colón Merán,"In this talk, we introduce Haetae, an agent designed to profile, identify, and exploit C2 frameworks used by North Korean malware. Haetae supports both automated and interactive modes, allowing analysts to map and understand adversary infrastructure with different levels of control.",Malware & Threat Intelligence
Creator Stage 4,Friday,11:30 AM,Human in the Loop or Human Out of Luck?,Christine Von Raesfeld,"As agentic AI systems rapidly enter healthcare and precision medicine, a critical question remains largely unanswered: what happens when the patient is reduced to data alone? This talk explores a real-world experiment conducted through GENE240 at Stanford, where interdisciplinary student teams used agentic AI systems...",Medical Device Security
Creator Stage 6,Friday,11:30 AM,Make Money Hacking AI,Joey Melo; Edward Morris,"In the past year, I made over $100,000 exclusively hacking AI in competitions and bug bounty platforms. In this talk, I will go over my strategies, my findings, and the techniques that consistently led to high-impact vulnerabilities.",Bug Bounty / Vulnerability Research
Creator Stage 7,Friday,11:30 AM,Starting and Sustaining a Successful DEF CON Group presented by DC862,"C$; Joe Folk; Christopher ""reapermunky"" Aziz",Starting a DEF CON Group is more than picking a name and scheduling a meetup. This session walks through the practical work of building a local hacker community that people want to keep showing up for.,Community/Keynote
Main Track 2,Friday,11:30 AM,Crashing the Party: Pwning Control-Flow Integrity with Segmentation Fault-Oriented Programming,"Marcos ""h3xduck"" Bajo; Ritvik ""RoYalGamr"" Goyal","Introduces Segmentation Fault-Oriented Programming, an exploit technique that builds a full attack chain out of repeated, intentional crashes.",Exploit Development
Main Track 4,Friday,11:30 AM,A Provider for the MOFia - Distributed Post-Ex Capabilities,Steven Flores,"From time to time I take another pass at WMI to see if there's anything left in it that hasn't been picked over. For most of the last decade, offensive WMI has meant Win32_Process Create and event subscription persistence.",Red Team / Adversary Emulation
Creator Stage 1,Friday,12:00 PM,Threat Hunting in OT Networks - Using Hypothesis Based Methods,Michael Cardwell,"Operational Technology (OT) networks present unique challenges for cybersecurity professionals tasked with detecting and mitigating threats. These networks, often critical to industrial control systems and infrastructure, require specialized approaches due to their complexity, legacy systems, and operational...",ICS/OT Security
Creator Stage 3,Friday,12:00 PM,Yet Another Walking Dead of Active Directory,"Nikos ""nickvourd"" Vourdas","Disabled Active Directory accounts are commonly treated as harmless remnants of the past. In reality, many of these ""dead"" objects still retain dangerous inbound permissions, historical privilege artifacts, inherited ACL relationships, and hidden attack paths that most organizations never investigate.",Identity & Access Security
Creator Stage 4,Friday,12:00 PM,Flow Like Water: Experiences from Physical Red Teaming,"Michael ""v3ga"" Aguilar","Physical red teaming remains one of the most consequential and under-discussed disciplines in offensive security. While network intrusions dominate the conversation, a determined adversary at the perimeter can bypass millions of dollars in cyber defenses with a lanyard, a clipboard, and a confident smile.",Physical Security
